time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,identifier,pressure,temperature,dev-id
1524355219053,2018-04-22T00:00:19.052999Z,1013.6823960195817,-84,380,936,2947,29.5,,1003.52,21.33,C2:9A:9F:E5:58:27
1524355224536,2018-04-22T00:00:24.536000Z,1029.3376511135693,-76,384,952,2941,29.5,,1003.49,21.33,C2:9A:9F:E5:58:27
1524355229563,2018-04-22T00:00:29.562999Z,1021.2071288431157,-76,372,948,2941,29.5,,1003.54,21.35,C2:9A:9F:E5:58:27
1524355234593,2018-04-22T00:00:34.592999Z,1019.9294093220374,-88,376,944,2947,29.5,,1003.56,21.33,C2:9A:9F:E5:58:27
1524355239669,2018-04-22T00:00:39.668999Z,1029.3376511135693,-76,384,952,2941,29.5,,1003.54,21.34,C2:9A:9F:E5:58:27
1524355245229,2018-04-22T00:00:45.229000Z,1029.6407140357262,-80,384,952,2941,29.5,,1003.53,21.33,C2:9A:9F:E5:58:27
1524355250769,2018-04-22T00:00:50.769000Z,1024.7731456278507,-84,380,948,2947,29.5,,1003.5,21.33,C2:9A:9F:E5:58:27
1524355256529,2018-04-22T00:00:56.529000Z,1027.7665104487498,-84,388,948,2947,29.5,,1003.5,21.33,C2:9A:9F:E5:58:27
1524355261983,2018-04-22T00:01:01.983000Z,1027.8521294427521,-76,380,952,2953,29.5,,1003.56,21.34,C2:9A:9F:E5:58:27
1524355267559,2018-04-22T00:01:07.559000Z,1024.7731456278507,-84,380,948,2935,29.5,,1003.5,21.35,C2:9A:9F:E5:58:27
1524355272563,2018-04-22T00:01:12.562999Z,1026.2631241548145,-84,384,948,2947,29.5,,1003.53,21.35,C2:9A:9F:E5:58:27
1524355277543,2018-04-22T00:01:17.542999Z,1028.474598616806,-84,380,952,2935,29.5,,1003.53,21.33,C2:9A:9F:E5:58:27
1524355282553,2018-04-22T00:01:22.552999Z,1029.6407140357262,-80,384,952,2935,29.5,,1003.52,21.33,C2:9A:9F:E5:58:27
1524355287589,2018-04-22T00:01:27.588999Z,1024.7731456278507,-84,380,948,2953,29.5,,1003.48,21.33,C2:9A:9F:E5:58:27
1524355293549,2018-04-22T00:01:33.549000Z,1021.073944433017,-84,380,944,2947,29.5,,1003.58,21.33,C2:9A:9F:E5:58:27
1524355298712,2018-04-22T00:01:38.711999Z,1029.6407140357262,-80,384,952,2941,29.5,,1003.48,21.34,C2:9A:9F:E5:58:27
