time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1526083218806,2018-05-12T00:00:18.805999Z,1027.5641099221011,-72,380,952,2941,33,1023.59,23.68,C2:9A:9F:E5:58:27
1526083224235,2018-05-12T00:00:24.234999Z,1026.0916138435202,-72,376,952,2947,32.5,1023.65,23.68,C2:9A:9F:E5:58:27
1526083229416,2018-05-12T00:00:29.415999Z,1014.6920715172657,-68,376,940,2941,33,1023.54,23.68,C2:9A:9F:E5:58:27
1526083235196,2018-05-12T00:00:35.196000Z,1022.3815334795519,-72,376,948,2953,33,1023.67,23.69,C2:9A:9F:E5:58:27
1526083240546,2018-05-12T00:00:40.546000Z,1018.1394796392093,-64,376,944,2941,33,1023.65,23.68,C2:9A:9F:E5:58:27
1526083246096,2018-05-12T00:00:46.095999Z,1016.45659031756,-72,380,940,2941,32.5,1023.64,23.67,C2:9A:9F:E5:58:27
1526083251226,2018-05-12T00:00:51.226000Z,1022.1076264268846,-68,376,948,2947,33,1023.62,23.68,C2:9A:9F:E5:58:27
1526083256216,2018-05-12T00:00:56.216000Z,1022.1076264268846,-68,376,948,2947,32.5,1023.6,23.67,C2:9A:9F:E5:58:27
1526083261255,2018-05-12T00:01:01.255000Z,1023.3279044372825,-64,380,948,2953,33,1023.65,23.68,C2:9A:9F:E5:58:27
1526083266320,2018-05-12T00:01:06.319999Z,1014.6920715172657,-68,376,940,2941,33,1023.63,23.68,C2:9A:9F:E5:58:27
1526083271346,2018-05-12T00:01:11.345999Z,1020.3842413522467,-64,372,948,2935,33,1023.67,23.69,C2:9A:9F:E5:58:27
1526083276902,2018-05-12T00:01:16.901999Z,1027.5641099221011,-72,380,952,2947,33,1023.59,23.68,C2:9A:9F:E5:58:27
1526083282206,2018-05-12T00:01:22.206000Z,1020.6429346250333,-68,372,948,2953,33,1023.59,23.67,C2:9A:9F:E5:58:27
1526083287506,2018-05-12T00:01:27.506000Z,1018.6736474455398,-72,376,944,2941,33,1023.65,23.68,C2:9A:9F:E5:58:27
1526083293226,2018-05-12T00:01:33.226000Z,1018.1394796392093,-64,376,944,2947,33,1023.67,23.67,C2:9A:9F:E5:58:27
1526083298606,2018-05-12T00:01:38.605999Z,1010.7264714055925,-64,376,936,2935,33,1023.64,23.67,C2:9A:9F:E5:58:27
1526083304186,2018-05-12T00:01:44.186000Z,1025.319462411594,-60,376,952,2953,33,1023.63,23.68,C2:9A:9F:E5:58:27
1526083309745,2018-05-12T00:01:49.744999Z,1018.3987431256973,-68,376,944,2947,33,1023.64,23.67,C2:9A:9F:E5:58:27
1526083315196,2018-05-12T00:01:55.196000Z,1025.350671721631,-72,384,948,2935,33,1023.65,23.68,C2:9A:9F:E5:58:27
1526083320375,2018-05-12T00:02:00.375000Z,1014.6920715172657,-68,376,940,2941,33,1023.59,23.67,C2:9A:9F:E5:58:27
1526083325896,2018-05-12T00:02:05.895999Z,1015.4723039059214,-68,368,944,2935,33,1023.65,23.66,C2:9A:9F:E5:58:27
1526083331216,2018-05-12T00:02:11.216000Z,1020.9172346473538,-72,372,948,2935,33,1023.66,23.67,C2:9A:9F:E5:58:27
1526083337216,2018-05-12T00:02:17.216000Z,1021.8493039582696,-64,376,948,2947,33,1023.66,23.67,C2:9A:9F:E5:58:27
1526083342585,2018-05-12T00:02:22.585000Z,1013.4929698818833,-72,372,940,2935,33,1023.63,23.67,C2:9A:9F:E5:58:27
1526083348636,2018-05-12T00:02:28.635999Z,1021.8493039582696,-64,376,948,2941,33,1023.65,23.66,C2:9A:9F:E5:58:27
1526083354146,2018-05-12T00:02:34.145999Z,1019.882346155673,-68,380,944,2935,33,1023.67,23.66,C2:9A:9F:E5:58:27
1526083359226,2018-05-12T00:02:39.226000Z,1013.2166599498846,-68,372,940,2947,33,1023.63,23.67,C2:9A:9F:E5:58:27
1526083364786,2018-05-12T00:02:44.786000Z,1024.148426742921,-76,380,948,2947,33,1023.66,23.65,C2:9A:9F:E5:58:27
1526083370216,2018-05-12T00:02:50.216000Z,1019.882346155673,-68,380,944,2953,33,1023.61,23.66,C2:9A:9F:E5:58:27
1526083375875,2018-05-12T00:02:55.875000Z,1025.561309722632,-64,376,952,2941,33,1023.7,23.66,C2:9A:9F:E5:58:27
1526083381206,2018-05-12T00:03:01.206000Z,1023.3279044372825,-64,380,948,2941,32.5,1023.68,23.66,C2:9A:9F:E5:58:27
1526083386435,2018-05-12T00:03:06.434999Z,1021.6535616342753,-72,384,944,2941,32.5,1023.67,23.66,C2:9A:9F:E5:58:27
1526083392015,2018-05-12T00:03:12.015000Z,1017.7543908035966,-68,364,948,2941,32.5,1023.62,23.66,C2:9A:9F:E5:58:27
1526083397212,2018-05-12T00:03:17.211999Z,1022.1076264268846,-68,376,948,2941,33,1023.61,23.66,C2:9A:9F:E5:58:27
1526083402606,2018-05-12T00:03:22.605999Z,1022.3815334795519,-72,376,948,2935,33,1023.59,23.64,C2:9A:9F:E5:58:27
1526083408216,2018-05-12T00:03:28.216000Z,1019.882346155673,-68,380,944,2947,33,1023.57,23.66,C2:9A:9F:E5:58:27
1526083413216,2018-05-12T00:03:33.216000Z,1027.2915847022207,-68,380,952,2935,33,1023.6,23.65,C2:9A:9F:E5:58:27
1526083418776,2018-05-12T00:03:38.776000Z,1022.1076264268846,-68,376,948,2953,33,1023.76,23.65,C2:9A:9F:E5:58:27
1526083424216,2018-05-12T00:03:44.216000Z,1022.1076264268846,-68,376,948,2935,33,1023.67,23.66,C2:9A:9F:E5:58:27
1526083429895,2018-05-12T00:03:49.894999Z,1019.882346155673,-68,380,944,2941,33,1023.62,23.65,C2:9A:9F:E5:58:27
1526083435216,2018-05-12T00:03:55.216000Z,1022.3815334795519,-72,376,948,2947,33,1023.63,23.65,C2:9A:9F:E5:58:27
1526083440456,2018-05-12T00:04:00.456000Z,1020.1568506852267,-72,380,944,2935,33,1023.65,23.65,C2:9A:9F:E5:58:27
1526083446016,2018-05-12T00:04:06.016000Z,1018.3987431256973,-68,376,944,2935,33,1023.67,23.66,C2:9A:9F:E5:58:27
1526083452095,2018-05-12T00:04:12.095000Z,1011.7549110332995,-68,368,940,2947,32.5,1023.59,23.64,C2:9A:9F:E5:58:27
1526083457222,2018-05-12T00:04:17.221999Z,1015.2122930697795,-64,368,944,2935,33,1023.69,23.65,C2:9A:9F:E5:58:27
1526083462685,2018-05-12T00:04:22.684999Z,1030.5493680556988,-72,388,952,2947,33,1023.67,23.66,C2:9A:9F:E5:58:27
1526083468226,2018-05-12T00:04:28.226000Z,1020.4469608950776,-76,380,944,2947,33,1023.61,23.66,C2:9A:9F:E5:58:27
1526083473806,2018-05-12T00:04:33.805999Z,1018.1394796392093,-64,376,944,2953,33,1023.61,23.66,C2:9A:9F:E5:58:27
1526083479216,2018-05-12T00:04:39.216000Z,1029.531932481941,-68,376,956,2953,33,1023.6,23.65,C2:9A:9F:E5:58:27
1526083484376,2018-05-12T00:04:44.375999Z,1019.6234599105692,-64,380,944,2959,33,1023.6,23.65,C2:9A:9F:E5:58:27
